File,Judges,Crime,Defense,ModeOfConviction,GroundOfAppeal
2017_03384.htm.txt," Present-Whalen, P.J., Carni, NeMoyer, Curran and Troutman, JJ",murder,Public Defender,plea of guilty,
2017_00977.htm.txt," Mastro, J.P., Austin, Miller and Maltese, JJ",,Private,,
2017_00196.htm.txt," Dillon, J.P., Hall, Sgroi, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,plea of guilty,
2017_03394.htm.txt," Present-Centra, J.P., Lindley, DeJoseph, NeMoyer and Scudder, JJ",criminal possession weapon,Private,plea of guilty,
2017_00967.htm.txt," Leventhal, J.P., Roman, Sgroi and Connolly, JJ",,Private,,
2017_00186.htm.txt," Dillon, J.P., Hall, Sgroi, Miller and Brathwaite Nelson, JJ",imposing sentence,Private,plea of guilty,
2017_05904.htm.txt,"  Peters, P.J., Egan Jr., Rose, Clark and Rumsey, JJ",,Private,,
2017_04597.htm.txt," Present-Peradotto, J.P., Carni, Lindley, Troutman and Scudder, JJ",attempted burglary,Public Defender,plea of guilty,insufficient
2017_02942.htm.txt," Concur-Friedman, J.P., Renwick, Moskowitz, Feinman and Kapnick, JJ",,Private,,
2017_04587.htm.txt," Present-Whalen, P.J., Lindley, DeJoseph, NeMoyer and Curran, JJ",,Private,,
2017_02952.htm.txt," Concur-Friedman, J.P., Renwick, Moskowitz, Feinman and Kapnick, JJ",,Private,,insufficient
2017_05914.htm.txt,"  Egan Jr., J.P., Devine, Aarons, Rumsey and Pritzker, JJ",,Private,,
2017_06091.htm.txt," LASALLE, JJ",imposing sentence,Private,jury verdict,
2017_05283.htm.txt,"  Egan Jr., J.P., Lynch, Rose, Devine and Clark, JJ",,Private,,
2017_04789.htm.txt," Concur-Acosta, P.J., Renwick, Richter, Feinman and Webber, JJ",,Legal Aid Society,,
2017_01836.htm.txt,"  Manzanet-Daniels, Gische and Webber, JJ",ed second-degree robbery for causing physical injury to Li course stealing ring from her store,Legal Aid Society,,insufficient
2017_06081.htm.txt," LASALLE, JJ",,Private,,
2017_01826.htm.txt," Concur-Sweeny, J.P., Renwick, Mazzarelli and Manzanet-Daniels, JJ",,Private,,
2017_05293.htm.txt,"  Peters, P.J., Garry, Mulvey and Aarons, JJ",,Private,,
2017_04799.htm.txt," Concur-Friedman, J.P., Mazzarelli, Moskowitz, Gische and Gesmer, JJ",,Legal Aid Society,,
2017_01682.htm.txt," Rivera, J.P., Dillon, Chambers and Hinds-Radix, JJ",,Private,,
2017_00388.htm.txt," Concur-Sweeny, J.P., Renwick, Richter, Manzanet-Daniels and Kapnick, JJ",,Private,,
2017_03803.htm.txt,"  Peters, P.J., Egan Jr., Mulvey and Aarons, JJ",ing defendant crime criminal sale controlled substance (three counts),Private,,ineffective assistance
2017_02490.htm.txt,"  Lynch, Rose, Clark and Mulvey, JJ",murder;among other things;criminal possession weapon,Private,,
2017_04845.htm.txt," Eng, P.J., Rivera, Balkin and Barros, JJ",,Private,,
2017_01692.htm.txt," Dillon, J.P., Roman, Hinds-Radix and Duffy, JJ",,Private,,
2017_00398.htm.txt," Concur-Andrias, J.P., Saxe, Feinman, Gische and Kahn, JJ",,Legal Aid Society,,
2017_02480.htm.txt," [*3]   Egan Jr., Lynch, Devine and Clark, JJ",,Private,,insufficient
