,File,DA,ADA
0,2017_00002.htm.txt,,
1,2017_00003.htm.txt,,
2,2017_00004.htm.txt,,
3,2017_00005.htm.txt,Darcel D. Clark,Robert McIver
4,2017_00006.htm.txt,,
5,2017_00007.htm.txt,,
6,2017_00008.htm.txt,,
7,2017_00009.htm.txt,,
8,2017_00010.htm.txt,,
9,2017_00011.htm.txt,"Cyrus R. Vance, Jr.",Patricia Curran
10,2017_00012.htm.txt,,
11,2017_00013.htm.txt,"Cyrus R. Vance, Jr.",Luis Morales
12,2017_00014.htm.txt,Darcel D. Clark,"William Terrell, III"
13,2017_00015.htm.txt,,
14,2017_00016.htm.txt,,
15,2017_00017.htm.txt,Darcel D. Clark,Joshua Weiss
16,2017_00018.htm.txt,,
17,2017_00019.htm.txt,,
18,2017_00020.htm.txt,,
19,2017_00021.htm.txt,,
20,2017_00022.htm.txt,Darcel D. Clark,Dmitriy Povazhuk
21,2017_00023.htm.txt,,
22,2017_00024.htm.txt,,
23,2017_00025.htm.txt,,
24,2017_00026.htm.txt,,
25,2017_00027.htm.txt,"Cyrus R. Vance, Jr.",Christine Didomenico
26,2017_00028.htm.txt,,
27,2017_00029.htm.txt,,
28,2017_00030.htm.txt,Darcel D. Clark,Catherine M. Reno
29,2017_00031.htm.txt,,
30,2017_00032.htm.txt,,
31,2017_00033.htm.txt,Darcel D. Clark,Joshua Weiss
32,2017_00034.htm.txt,,
33,2017_00035.htm.txt,"Cyrus R. Vance, Jr.",
34,2017_00036.htm.txt,,
35,2017_00037.htm.txt,Darcel D. Clark,Robert McIver
36,2017_00038.htm.txt,"Cyrus R. Vance, Jr.",Jared Wolkowitz
37,2017_00039.htm.txt,,
38,2017_00040.htm.txt,,
39,2017_00041.htm.txt,"Cyrus R. Vance, Jr.",Ryan Gee
40,2017_00042.htm.txt,,
41,2017_00043.htm.txt,Karen Heggen,Kirstin T. Foust
42,2017_00044.htm.txt,,Stephen Ferri
43,2017_00045.htm.txt,Andrew J. Wylie,Timothy Blatchley
44,2017_00046.htm.txt,P. David Soares,Brittany L. Grome
45,2017_00047.htm.txt,Robert M. Carney,Tracey A. Brunecz
46,2017_00048.htm.txt,William G. Gabor,Elizabeth S. Healy
47,2017_00049.htm.txt,P. David Soares,Michael C. Wetmore
48,2017_00050.htm.txt,Robert M. Carney,Tracey A. Brunecz
49,2017_00051.htm.txt,,
50,2017_00052.htm.txt,,
51,2017_00053.htm.txt,,
52,2017_00054.htm.txt,,
53,2017_00055.htm.txt,,
54,2017_00056.htm.txt,,
55,2017_00057.htm.txt,,
56,2017_00058.htm.txt,,
57,2017_00059.htm.txt,,
58,2017_00060.htm.txt,,
59,2017_00061.htm.txt,,
60,2017_00062.htm.txt,,
61,2017_00063.htm.txt,,
62,2017_00064.htm.txt,,
63,2017_00065.htm.txt,,
64,2017_00066.htm.txt,,
65,2017_00067.htm.txt,,
66,2017_00068.htm.txt,,
67,2017_00069.htm.txt,,
68,2017_00070.htm.txt,,
69,2017_00071.htm.txt,"Cyrus R. Vance, Jr.",David P. Stromes
70,2017_00072.htm.txt,"Cyrus R. Vance, Jr.",Sheila O'Shea
71,2017_00073.htm.txt,,
72,2017_00074.htm.txt,,
73,2017_00075.htm.txt,,
74,2017_00076.htm.txt,,
75,2017_00077.htm.txt,"Cyrus R. Vance, Jr.",Jeffrey A. Wojcik
76,2017_00078.htm.txt,,
77,2017_00079.htm.txt,,
78,2017_00080.htm.txt,"Cyrus R. Vance, Jr.",Malancha Chanda
79,2017_00081.htm.txt,,
80,2017_00082.htm.txt,"Cyrus R. Vance, Jr.",Luis Morales
81,2017_00083.htm.txt,,
82,2017_00084.htm.txt,,
83,2017_00085.htm.txt,Darcel D. Clark,Robert C. McIver
84,2017_00086.htm.txt,,
85,2017_00087.htm.txt,,
86,2017_00088.htm.txt,Darcel D. Clark,Meaghan L. Powers
87,2017_00089.htm.txt,"Cyrus R. Vance, Jr.",Sheila L. Bautista
88,2017_00090.htm.txt,,
89,2017_00091.htm.txt,,
90,2017_00092.htm.txt,,
91,2017_00093.htm.txt,,
92,2017_00094.htm.txt,,
93,2017_00095.htm.txt,,
94,2017_00097.htm.txt,"Cyrus R. Vance, Jr.",Diane N. Princ
95,2017_00098.htm.txt,,
96,2017_00099.htm.txt,,
97,2017_00100.htm.txt,,
98,2017_00101.htm.txt,,
99,2017_00102.htm.txt,,
100,2017_00103.htm.txt,,
101,2017_00104.htm.txt,,
102,2017_00105.htm.txt,"Cyrus R. Vance, Jr.",Joshua L. Haber
103,2017_00106.htm.txt,,
104,2017_00107.htm.txt,Darcel D. Clark,Julia L. Chariott
105,2017_00108.htm.txt,,
106,2017_00109.htm.txt,Darcel D. Clark,Shera Knight
107,2017_00110.htm.txt,,
108,2017_00111.htm.txt,,
109,2017_00112.htm.txt,,
110,2017_00113.htm.txt,Darcel D. Clark,Justin J. Braun
111,2017_00114.htm.txt,,
112,2017_00115.htm.txt,Darcel D. Clark,Noah J. Chamoy
113,2017_00116.htm.txt,,
114,2017_00117.htm.txt,"Cyrus R. Vance, Jr.",Vincent Rivellese
115,2017_00118.htm.txt,,
116,2017_00119.htm.txt,,
117,2017_00120.htm.txt,,
118,2017_00121.htm.txt,,
119,2017_00122.htm.txt,,
120,2017_00123.htm.txt,,
121,2017_00124.htm.txt,"Cyrus R. Vance, Jr.",Casey K. Lee
122,2017_00125.htm.txt,,
123,2017_00126.htm.txt,,
124,2017_00127.htm.txt,"Cyrus R. Vance, Jr.",Sheila L. Bautista
125,2017_00128.htm.txt,,
126,2017_00129.htm.txt,,
127,2017_00130.htm.txt,,
128,2017_00131.htm.txt,"Cyrus R. Vance, Jr.",Alice Wiseman
129,2017_00132.htm.txt,,
130,2017_00133.htm.txt,,
131,2017_00134.htm.txt,Darcel D. Clark,Andrew J. Zapata
132,2017_00135.htm.txt,,
133,2017_00136.htm.txt,"Cyrus R. Vance, Jr.",
134,2017_00137.htm.txt,Darcel D. Clark,Matthew B. White
135,2017_00138.htm.txt,,
136,2017_00139.htm.txt,,233 NY
137,2017_00140.htm.txt,,
138,2017_00141.htm.txt,,
139,2017_00142.htm.txt,,
140,2017_00143.htm.txt,,
141,2017_00144.htm.txt,,
142,2017_00145.htm.txt,,
143,2017_00146.htm.txt,,
144,2017_00147.htm.txt,,
145,2017_00148.htm.txt,,
146,2017_00149.htm.txt,,
147,2017_00150.htm.txt,,
148,2017_00151.htm.txt,,
149,2017_00152.htm.txt,,
150,2017_00153.htm.txt,,
151,2017_00154.htm.txt,,
152,2017_00155.htm.txt,,
153,2017_00156.htm.txt,,
154,2017_00157.htm.txt,,
155,2017_00158.htm.txt,,
156,2017_00159.htm.txt,,
157,2017_00160.htm.txt,,
158,2017_00161.htm.txt,,
159,2017_00162.htm.txt,,
160,2017_00163.htm.txt,,
161,2017_00164.htm.txt,,
162,2017_00165.htm.txt,,
163,2017_00166.htm.txt,,
164,2017_00167.htm.txt,,
165,2017_00168.htm.txt,,
166,2017_00169.htm.txt,,
167,2017_00170.htm.txt,,
168,2017_00171.htm.txt,,
169,2017_00172.htm.txt,,
170,2017_00173.htm.txt,,
171,2017_00174.htm.txt,,
172,2017_00175.htm.txt,,
173,2017_00176.htm.txt,,
174,2017_00177.htm.txt,,
175,2017_00178.htm.txt,Thomas J. Spota,Michael J. Miller
176,2017_00179.htm.txt,David M. Hoovler,Andrew Kass
177,2017_00180.htm.txt,Madeline Singas,
178,2017_00181.htm.txt,Madeline Singas,
179,2017_00182.htm.txt,,
180,2017_00183.htm.txt,Richard A. Brown,
181,2017_00184.htm.txt,Richard A. Brown,
182,2017_00185.htm.txt,Richard A. Brown,
183,2017_00186.htm.txt,,
184,2017_00187.htm.txt,Richard A. Brown,
185,2017_00188.htm.txt,Richard A. Brown,
186,2017_00189.htm.txt,Thomas P. Zugibe,Itamar Yeger
187,2017_00190.htm.txt,Madeline Singas,
188,2017_00191.htm.txt,Richard A. Brown,
189,2017_00192.htm.txt,David M. Hoovler,
190,2017_00193.htm.txt,Richard A. Brown,
191,2017_00194.htm.txt,Madeline Singas,
192,2017_00195.htm.txt,,
193,2017_00196.htm.txt,Richard A. Brown,
194,2017_00197.htm.txt,Thomas J. Spota,Glenn Green
195,2017_00198.htm.txt,Madeline Singas,
196,2017_00199.htm.txt,"Anthony A. Scarpino, Jr.",
197,2017_00200.htm.txt,Thomas J. Spota,Michael J. Miller
198,2017_00201.htm.txt,,
199,2017_00202.htm.txt,,
200,2017_00203.htm.txt,,
201,2017_00204.htm.txt,,
202,2017_00205.htm.txt,,
203,2017_00206.htm.txt,,
204,2017_00207.htm.txt,,
205,2017_00208.htm.txt,,
206,2017_00209.htm.txt,,
207,2017_00210.htm.txt,,
208,2017_00211.htm.txt,,
209,2017_00212.htm.txt,Joel E. Abelove,Vincent J. O'Neill
210,2017_00213.htm.txt,Robert M. Carney,Tracey A. Brunecz
211,2017_00214.htm.txt,Andrew J. Wylie,Nicholas J. Evanovich
212,2017_00215.htm.txt,P. David Soares,Brittany L. Grome
213,2017_00216.htm.txt,Robert M. Carney,"Jonathan Catania,"
214,2017_00217.htm.txt,D. Holley Carnright,Joan Gudesblatt Lamb
215,2017_00218.htm.txt,,Pamela A. Ladd
216,2017_00219.htm.txt,,
217,2017_00220.htm.txt,,
218,2017_00221.htm.txt,,
219,2017_00222.htm.txt,,
220,2017_00223.htm.txt,,
221,2017_00224.htm.txt,,
222,2017_00225.htm.txt,,
223,2017_00226.htm.txt,,
224,2017_00227.htm.txt,,
225,2017_00228.htm.txt,,
226,2017_00229.htm.txt,,
227,2017_00230.htm.txt,,
228,2017_00231.htm.txt,,
229,2017_00232.htm.txt,,
230,2017_00233.htm.txt,,
231,2017_00234.htm.txt,,
232,2017_00235.htm.txt,,
233,2017_00236.htm.txt,,
234,2017_00237.htm.txt,,
235,2017_00238.htm.txt,"Cyrus R. Vance, Jr.",Joshua L. Haber
236,2017_00239.htm.txt,,
237,2017_00240.htm.txt,"Cyrus R. Vance, Jr.",Alan Gadlin
238,2017_00241.htm.txt,,
239,2017_00242.htm.txt,,
240,2017_00243.htm.txt,,
241,2017_00244.htm.txt,,
242,2017_00245.htm.txt,"Cyrus R. Vance, Jr.",Michael J. Yetter
243,2017_00246.htm.txt,,
244,2017_00247.htm.txt,,
