,PSNY,HarmlessError,ProsecutMisconduct,DocumentLength,DefendantRespondent,DefendantAppellant,File,DA,ADA,Judges,Crime,Defense,GroundsForAppeal,ModeOfConviction,Judge,Mode,Keywords
2017_00005,respondent,0,0,853,0.0,1.0,2017_00005.htm.txt,Darcel D. Clark,Robert McIver," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",,Private,,,John Moore, at plea and sentence,affirmed
2017_00011,respondent,0,0,4513,0.0,1.0,2017_00011.htm.txt,"Cyrus R. Vance, Jr.",Patricia Curran," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",unanimously affirmed;to term 18 years;ing defendant assault;as violent felony offender;sentencing him,Private,,,"Laura A. Ward, Melissa C. Jackson"," at suppression hearing, at jury trial and sentencing",affirmed
2017_00013,respondent,0,0,1804,0.0,1.0,2017_00013.htm.txt,"Cyrus R. Vance, Jr.",Luis Morales," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",burglary;;unanimously affirmed;after jury trial;grand larceny;criminal possession stolen property;rape;sexual abuse;sentencing him to an aggregate term 20 years;ing defendant;burglary as sexually motivated felony,Private,,,Bruce Allen,,affirmed
2017_00014,respondent,0,0,1136,0.0,1.0,2017_00014.htm.txt,Darcel D. Clark,"William Terrell, III"," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",risk pursuant to Sex Offender Registration Act,Legal Aid Society,,,Seth L. Marvin,,affirmed
2017_00017,respondent,0,0,897,0.0,1.0,2017_00017.htm.txt,Darcel D. Clark,Joshua Weiss," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",,Legal Aid Society,,,"Caesar D. Cirigliano, William McGuire"," at plea, at sentence",affirmed
2017_00020,respondent,0,0,1521,0.0,1.0,2017_00020.htm.txt,,," Concur-Friedman, J.P., Sweeny, Richter, Manzanet-Daniels and Kapnick, JJ",,Legal Aid Society,,,Margaret Clancy,,affirmed
2017_00022,respondent,0,0,1477,0.0,1.0,2017_00022.htm.txt,Darcel D. Clark,Dmitriy Povazhuk," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",unanimously affirmed;sentencing him to an aggregate term conditional discharge with 15 days community service;ing defendant;making graffiti;upon his pleas guilty,Legal Aid Society,,,Ann M. Donnelly,,affirmed
2017_00027,respondent,0,0,1617,0.0,1.0,2017_00027.htm.txt,"Cyrus R. Vance, Jr.",Christine Didomenico," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",to concurrent terms 12 years;followed by years post release supervision;unanimously affirmed;as violent felony offender;ing defendant robbery;sentencing him,Private,,,"Edward J. McLaughlin, Richard D. Carruthers, Ronald A. Zweibel"," at hearing, at jury trial",affirmed
2017_00030,respondent,0,0,2864,0.0,1.0,2017_00030.htm.txt,Darcel D. Clark,Catherine M. Reno," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",unanimously affirmed;sentencing him to an aggregate term 60 days;attempted criminal contempt;menacing;attempted criminal obstruction breathing blood circulation;attempted assault,Private,,nonjury trial,Patricia Anne Williams,,affirmed
2017_00033,respondent,0,0,1138,0.0,1.0,2017_00033.htm.txt,Darcel D. Clark,Joshua Weiss," Concur-Saxe, J.P., Moskowitz, Kahn and Gesmer, JJ",$5;sentencing him to term 25 years to life;unanimously modified;to extent reducing mandatory surcharge;otherwise affirmed;on law;crime victim assistance fee to $150;murder;respectively,Private,,plea of guilty,Michael Gross,,reversed
2017_00035,respondent,0,0,1026,0.0,1.0,2017_00035.htm.txt,"Cyrus R. Vance, Jr.",," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",,Legal Aid Society,,,Robert Stolz,,affirmed
2017_00037,respondent,0,0,1905,0.0,1.0,2017_00037.htm.txt,Darcel D. Clark,Robert McIver," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",unanimously affirmed;after jury trial;as violent felony offender;assault as hate crime;ing defendant;sentencing him;to term seven years,Private,,,George Villegas,,affirmed
2017_00038,respondent,0,0,1094,0.0,1.0,2017_00038.htm.txt,"Cyrus R. Vance, Jr.",Jared Wolkowitz," Concur-Saxe, J.P., Moskowitz, Gische, Kahn and Gesmer, JJ",,Legal Aid Society,,,Larry Stephen,,affirmed
2017_00043,respondent,0,0,11550,0.0,1.0,2017_00043.htm.txt,Karen Heggen,Kirstin T. Foust,"  Lynch, Rose, Clark and Aarons, JJ",ing defendant crimes rape;sexual abuse,Private,,,Scarano,,affirmed
2017_00044,respondent,0,0,5262,0.0,1.0,2017_00044.htm.txt,,Stephen Ferri,"  Egan Jr., J.P., Lynch, Clark and Aarons, JJ",ing defendant crime attempted robbery,Private,,,Cawley,,affirmed
2017_00045,respondent,0,0,7171,0.0,1.0,2017_00045.htm.txt,Andrew J. Wylie,Timothy Blatchley,"  Egan Jr., J.P., Rose, Clark and Aarons, JJ",promoting prison contraband;criminal possession controlled substance;conspiracy;ing defendant crimes criminal sale controlled substance,Private,insufficient,,McGill,,affirmed
2017_00046,respondent,0,0,10924,0.0,1.0,2017_00046.htm.txt,P. David Soares,Brittany L. Grome," [*4]   Garry, J.P., Egan Jr., Rose and Clark, JJ",strangulation;assault (two counts);crimes attempted murder,Private,,nonjury trial,Lynch,,affirmed
