File,Judge,Mode
2017_00005.htm.txt,John Moore, at plea and sentence
2017_00011.htm.txt,"Laura A. Ward, Melissa C. Jackson"," at suppression hearing, at jury trial and sentencing"
2017_00013.htm.txt,Bruce Allen,
2017_00014.htm.txt,Seth L. Marvin,
2017_00017.htm.txt,"Caesar D. Cirigliano, William McGuire"," at plea, at sentence"
2017_00020.htm.txt,Margaret Clancy,
2017_00022.htm.txt,Ann M. Donnelly,
2017_00027.htm.txt,"Edward J. McLaughlin, Richard D. Carruthers, Ronald A. Zweibel"," at hearing, at jury trial"
2017_00030.htm.txt,Patricia Anne Williams,
2017_00033.htm.txt,Michael Gross,
2017_00035.htm.txt,Robert Stolz,
2017_00037.htm.txt,George Villegas,
2017_00038.htm.txt,Larry Stephen,
2017_00043.htm.txt,Scarano,
2017_00044.htm.txt,Cawley,
2017_00045.htm.txt,McGill,
2017_00046.htm.txt,Lynch,
2017_00047.htm.txt,Milano,
2017_00048.htm.txt,McDermott,
2017_00049.htm.txt,Lynch,
2017_00050.htm.txt,Loyola,
2017_00071.htm.txt,Neil E. Ross,
2017_00072.htm.txt,James M. Burke,
2017_00077.htm.txt,Rena K. Uviller,
2017_00080.htm.txt,Juan M. Merchan,
2017_00082.htm.txt,"Richard Weinberg, Tamiko Amaker"," at plea, at sentencing"
2017_00085.htm.txt,Barbara F. Newman,
2017_00088.htm.txt,John W. Carter,
2017_00089.htm.txt,Charles Solomon,
2017_00097.htm.txt,Ronald A. Zweibel,
2017_00105.htm.txt,Michael Obus,
2017_00107.htm.txt,Margaret L. Clancy,
2017_00109.htm.txt,Judith Lieb,
2017_00113.htm.txt,Steven L. Barrett,
2017_00115.htm.txt,Troy K. Webber,
2017_00117.htm.txt,Ann M. Donnelly,
2017_00124.htm.txt,Roger S. Hayes,
2017_00127.htm.txt,Gregory Carro,
2017_00131.htm.txt,"Charles H. Solomon, Jill Konviser"," at first Gomberg inquiry, jur..."
2017_00134.htm.txt,Patricia DiMango,
2017_00136.htm.txt,Charles Solomon,
2017_00137.htm.txt,George R. Villegas,
2017_00175.htm.txt,Murphy,
2017_00176.htm.txt,Del Giudice,
2017_00177.htm.txt,Rooney,
2017_00178.htm.txt,R. Doyle,
2017_00179.htm.txt,Neary,
2017_00180.htm.txt,Honorof,
2017_00181.htm.txt,IDV Part,
2017_00182.htm.txt,D'Emic,
2017_00183.htm.txt,Hollie,
2017_00184.htm.txt,Mullings,
2017_00185.htm.txt,Hollie,
2017_00186.htm.txt,Sciarrino, J.
2017_00187.htm.txt,Lakritz,
2017_00188.htm.txt,Rosengarten,
2017_00189.htm.txt,Nelson,
2017_00190.htm.txt,Delligatti,
2017_00191.htm.txt,Melendez,
2017_00192.htm.txt,Freehill,
2017_00193.htm.txt,,
2017_00194.htm.txt,Honorof,
2017_00195.htm.txt,Brennan,
2017_00196.htm.txt,Hirsch,
2017_00197.htm.txt,Braslow,
2017_00198.htm.txt,Honorof,
2017_00199.htm.txt,Cacace,
2017_00200.htm.txt,Kahn,
2017_00201.htm.txt,DiMango,
2017_00202.htm.txt,Brennan,
2017_00212.htm.txt,Ceresia,
2017_00213.htm.txt,Giardino,
2017_00214.htm.txt,Lawliss,
2017_00215.htm.txt,Breslin,
2017_00216.htm.txt,Milano,
2017_00217.htm.txt,McGinty,
2017_00218.htm.txt,Catena,
2017_00238.htm.txt,Edward J. McLaughlin,
2017_00240.htm.txt,Richard D. Carruthers,
2017_00245.htm.txt,"Laura Ward, Larry Stephen"," at plea, at sentencing"
2017_00248.htm.txt,Michael J. Obus,
2017_00251.htm.txt,Michael Sonberg,
2017_00252.htm.txt,"Daniel Fitzgerald, Richard D. Carruthers"," at plea, at sentencing"
2017_00255.htm.txt,Marcy L. Kahn,
2017_00261.htm.txt,Edward J. McLaughlin,
2017_00262.htm.txt,Marcy L. Kahn,
2017_00267.htm.txt,Laura Ward,
2017_00270.htm.txt,Seth L. Marvin,
2017_00271.htm.txt,"William McGuire, Robert Torres"," at plea, at sentencing"
2017_00275.htm.txt,Juan Merchan,
2017_00278.htm.txt,"Cassandra M. Mullen, Wayne Ozzi"," at suppression hearing and nonjury trial, at sentencing"
